tweeter_id,avatar_url,tw_time,tw_text,tw_replies,tw_retweets,tw_favorites
RoyalKenyah,https://pbs.twimg.com/profile_images/1060734572084764672/JBKoKlYM_bigger.jpg,7:29 AM - 22 Nov 2018,"The 17 Sustainable development goals build on the Millennium development goals (MDGs) and focus on vital areas such as climate change, economic inequality, peace and justice, sustainable consumption, innovation, among other global priorities.  #InclusiveGrowthKE",1,9,9
Dmarigiri_,https://pbs.twimg.com/profile_images/1063379589689430016/m1jk3Knz_bigger.jpg,7:08 AM - 22 Nov 2018,Kenya started action on Millennium Development Goals four years late in 2004  #InclusiveGrowthKE,0,5,5
teddyeugene,https://pbs.twimg.com/profile_images/1021404401175597056/clobRLab_bigger.jpg,6:54 AM - 22 Nov 2018,"The 17 Sustainable development goals build on the Millennium development goals (MDGs) and focus on vital areas such as climate change, economic inequality, peace and justice, sustainable consumption, innovation, among other global priorities.
  #InclusiveGrowthKE",0,7,4
kunleMyk,https://pbs.twimg.com/profile_images/1038892420363182080/Q4dprgzI_bigger.jpg,6:32 AM - 22 Nov 2018,"How well can you pronounce ""Millennium Development Goals""
 @PeterGregoryObi
 #PeterObiChallengepic.twitter.com/mBQiTklZQn",14,28,5
AdesugbaDipo,https://pbs.twimg.com/profile_images/1044232784049590278/45ZYhi2i_bigger.jpg,6:16 PM - 21 Nov 2018,LMAO is this the VP that they say will Get Nigeria Working Again? Peter please pronounce Millennium Development Goals o? #PeterObiChallenge,0,1,0
radiokimilili,https://pbs.twimg.com/profile_images/596249535221014528/1T5xRqOC_bigger.jpg,5:38 PM - 21 Nov 2018,Did someone advice the Kimilili MP that being a slay queen isn't a factor in determining the Millennium Development Goals. Let him check properly. He'll find some of them are his closest relatives. @ntvkenya @SulweFM @KasutiE @brian_kutukhulu @StandardKenya @kot,0,1,1
ChefKeidi,https://pbs.twimg.com/profile_images/1049351687079698432/lGEvNytD_bigger.jpg,4:06 PM - 21 Nov 2018,Today on http://www.LIBRadio.com  we take on the subject of The Future of Africa is Green. The new Millennium Development Goals have set an ambitious set of goals for Continental development over the next two decades. What part to African Americans have to play in this scheme? pic.twitter.com/W8BEpjJUS1,0,0,0
nicktubechannel,https://pbs.twimg.com/profile_images/1053314988570480641/m0_QzEkZ_bigger.jpg,3:27 PM - 21 Nov 2018,"These 17 Goals build on the successes of the Millennium Development Goals, while including new areas such as climate change, economic inequality, innovation, sustainable consumption, peace and justice, among other priorities.
Nik stood up argued with 1 girl for the fors .Proud.)",1,1,3
MadiSharma1,https://pbs.twimg.com/profile_images/610387093467099136/tbJt9tkz_bigger.jpg,11:40 AM - 21 Nov 2018,"BANGLADESH - EXCEEDING EXPECTATIONS - Happy to be on my way back to Dhaka, and agree with @RensjeTeerink #EU Ambassador “The country has performed exceedingly well when it comes to achieving the Millennium Development Goals."" and #women empowerment @WESTT_EU",0,2,13
TheMacAnon,https://pbs.twimg.com/profile_images/1062922102930575360/IFyi_VGj_bigger.jpg,9:14 AM - 21 Nov 2018,"Titled (Transforming) our world: the 2030 Agenda for Sustainable Development and contained in document A/70/L. 1, the agreement on a set of 17 goals and 169 targets would come into effect on 1 January 2016, replacing the Millennium Development Goals set in 2000.",1,0,0
GodoStoyke,https://pbs.twimg.com/profile_images/63928350/rolling_bigger.jpg,6:04 AM - 21 Nov 2018,"@jasonrwang I think the UN already plays a huge role in international relations, @WHO, @UNFCCC, @IPCC_CH, @UNESCO, @UNEnvironment, @OHCHR, UN Millennium Development Goals developed by Kofi Annan, @UNHCR, @UN_Women and many other branches of the UN. 1/3",0,0,3
Asamoh_,https://pbs.twimg.com/profile_images/1066376540760563712/GaJSqi7o_bigger.jpg,5:44 AM - 21 Nov 2018,The Millennium Development Goals measure progress towards gender equality in part by the proportion of women in parliamentary seats. #GenderBill,1,1,2
ForeverEritrea,https://pbs.twimg.com/profile_images/1026079388981493760/1tjBOcpU_bigger.jpg,2:52 AM - 21 Nov 2018,"""SHEER WILLPOWER!
We were the ONLY Sub-Saharan African country to achieve the Millennium Development Goals!"" 

Sophia @stesfamariam from the Board for the National Council of Eritrean Americans discusses how #Eritrea  got through 9 years of sanctions!pic.twitter.com/lvBq0bqE1a",1,7,13
globalpeacef1,https://abs.twimg.com/sticky/default_profile_images/default_profile_bigger.png,10:54 PM - 20 Nov 2018,Advocate and contribute to the achievement of the United Nations’ Millennium Development Goals. http://bit.ly/VgToM0 ,0,0,0
RaimeMarina,https://pbs.twimg.com/profile_images/933660517683597312/HntmQ1jM_bigger.jpg,10:48 PM - 20 Nov 2018,"@ClarenceHouse (particularly the Millennium Development Goals). These ""Annual Ministerial Reviews"" will be replaced by the High Level Political Forum from 2016 onwards after the new post-MDG/post-2015 Sustainable Development Goals are agreed.",0,0,0
mfascinari,https://pbs.twimg.com/profile_images/1303090597/me_Massimo_Fascinari_bigger.jpg,9:26 PM - 20 Nov 2018,#WaterMelonKPI Millennium Development Goals is #green: almost all primary-age children almost everywhere in the world are in school. #red The quality of learning is low. „Teacher’s little helper” @TheEconomist explains how #IT helps with the gaphttps://www.economist.com/international/2018/11/17/in-poor-countries-technology-can-make-big-improvements-to-education?frsc=dg%7Ce …,0,0,0
Future_Cities,https://pbs.twimg.com/profile_images/1020801837405036544/kUcOBIb3_bigger.jpg,6:36 PM - 20 Nov 2018,"It's been well-documented that the majority of UN Millennium Development Goals have been achieved because of the progress (and weight of numbers) in China
See my book: https://www.amazon.co.uk/Chinas-Urban-Revolution-Austin-Williams/dp/1350003255 …https://twitter.com/kenanmalik/status/1064923157243531265 …",0,0,0
MakaraNuel,https://pbs.twimg.com/profile_images/1040693385198227456/b1l2m6Jm_bigger.jpg,6:24 PM - 20 Nov 2018,atiku IS OUTDATED and his PLAN is too! How can you be planning on embarking on millennium development goals that ABACHA used to plan for VISION2020 which expires next year? The UN and World ARE NOW IMPLEMENTING SDGs as MDGs are now OUTDATED but ATIKU's plan is MDGs BASED!,0,0,0
Underground_RT,https://pbs.twimg.com/profile_images/1047889607252234241/Xc_yRaCX_bigger.jpg,1:05 PM - 20 Nov 2018,"""SHEER WILLPOWER! We were the ONLY Sub-Saharan African country to achieve the Millennium Development Goals!"" 
@stesfamariam from the Board for the National Council of Eritrean Americans discusses how #Eritrea got through 9 years of sanctions!

https://www.youtube.com/watch?v=H0FCRYG0uAQ …pic.twitter.com/b4iiysPyGr",0,34,54
ClimateWed,https://pbs.twimg.com/profile_images/1010545338426560513/qkXIrJK4_bigger.jpg,12:01 PM - 20 Nov 2018,"These 17 Goals build on the successes of the Millennium Development Goals, while including new areas such as #ClimateChange, economic inequality, innovation, sustainable consumption, peace and justice, among other priorities.

#ClimateChange
#SDGs
#PICTURES: SDGs Nigeriapic.twitter.com/mTGR5Daj3d",0,1,0
Qwame_Dankwah,https://pbs.twimg.com/profile_images/1046325937304997893/bLd2NaQT_bigger.jpg,10:07 AM - 20 Nov 2018,"In 2000, the Millennium Development Goals outlined by world leaders in order to stop the spread of HIV/AIDS by 2015. Albeit this applies to all people, the main objective is with regard to children
#WorldChildrensDay @UNICEFAfrica
@UNICEF_Burkina
@Roberto_Benes
#TheAfricaWeWant",1,4,5
adex0057,https://pbs.twimg.com/profile_images/1055395283515990016/FLc4nRJT_bigger.jpg,9:21 AM - 20 Nov 2018,"Atiku campaigns told Nigeria is developmental plans are curved out from MDG, you remember the ""demised"" Millennium Development Goals, Nigeria Government announced she can not achieved in 2015.
That's the type of Government he want to reintroduce, a failed project",0,10,17
BankWindhoek,https://pbs.twimg.com/profile_images/904968946310369281/7ed-WCip_bigger.jpg,6:46 AM - 20 Nov 2018,"In many first world economies, the effects of global warming continues to manifest as a business reality. In response to this crisis, the Namibian banking sector, in support of the Millennium Development Goals, is mandated to play a vital role. Read more: https://bit.ly/2Q6Xudq pic.twitter.com/SYsl7fT6rS",0,0,1
MSTCDC,https://pbs.twimg.com/profile_images/953607386236968962/8lR0BiCI_bigger.jpg,5:25 AM - 20 Nov 2018,"""There is a huge different between sustainable Development Goals (SDGs) and  Millennium Development Goals (MDGs)."" - Natalie Boucly ( Country Director, UNDP -TZ) #YouLead18 @YouLeadSummit",0,11,13
WORBLO,https://pbs.twimg.com/profile_images/970787492826886145/epDOI4z6_bigger.jpg,4:54 AM - 20 Nov 2018,@atiku please researchers need to be uo to date. We are in tbe Sustainable Development Gosls era not Millennium Development Goals. https://twitter.com/charlesbanky/status/1064534328229720065 …,0,0,0
Ody_johnson,https://pbs.twimg.com/profile_images/972810031195480065/W8uX6h2z_bigger.jpg,7:56 PM - 19 Nov 2018,"Hello Mr Abubakar ,i know you are tired of my usual troubles already .
But please why will you be talking about Sustainable Development Goals (SDG) in Nigeria when our Millennium Development Goals (MDG) are still 100% lacking ???

 https://twitter.com/MrAbuSidiq/status/1064476398469959681 …",1,7,6
Ody_johnson,https://pbs.twimg.com/profile_images/972810031195480065/W8uX6h2z_bigger.jpg,7:42 PM - 19 Nov 2018,How will you be talking about Sustainable Development Goals (SDG) when Millennium Development Goals (MDG) are still lacking ???,0,1,2
USF_Economics,https://pbs.twimg.com/profile_images/954515053016965120/fhMHsIUm_bigger.jpg,7:31 PM - 19 Nov 2018,"Great data science conference coming up in SF. Of interest to economists. Sessions on experimental methods, deep learning, network analysis, marketing, and the Millennium Development Goals. https://twitter.com/datainstitutesf/status/1064579954892046336 …",0,2,3
Karovoni,https://pbs.twimg.com/profile_images/859726556691869696/uj5OLHS1_bigger.jpg,5:06 PM - 19 Nov 2018,"Of all the Millennium Development Goals, how many did Nigeria achieve? Atiku was VP for 8 of those years.",0,4,4
thebardogbamola,https://pbs.twimg.com/profile_images/592782534175551488/vJNHivt7_bigger.jpg,4:51 PM - 19 Nov 2018,You are lying sir. The millennium development goals are 3. The first is eradicate extreme poverty and hunger 2. Achieve universal primary education 3. Gender equality and women empowerment. Kindly tell me how @atiku failed in all these? All you have been stating are lies!https://twitter.com/mrabusidiq/status/1064489815570374657 …,0,1,3
MouriceAgumba,https://pbs.twimg.com/profile_images/532192379101409282/j3ahcvqd_bigger.jpeg,4:24 PM - 19 Nov 2018,"SUSTAINABLE DEVELOPMENT GOALS
vs
MILLENNIUM DEVELOPMENT GOALS",0,0,0
WaleMicaiah,https://pbs.twimg.com/profile_images/481291469333204992/WKO3O8yv_bigger.png,3:25 PM - 19 Nov 2018,"Millennium Development Goals ended in 2015

We are now in the age of Sustainable Development Goals

#TheAtikuPlan
@atikupic.twitter.com/AXn5TdFI36",1,7,8
SaleemAmusa,https://pbs.twimg.com/profile_images/1059983042956197888/cIDaG86a_bigger.jpg,2:35 PM - 19 Nov 2018,We need to enforce the charge right acts.. We need to pass the national health bill.. Create an agency for the eradication of FISTULA in other to achieve our millennium development goals.,1,0,0
UgochiJaneTrump,https://pbs.twimg.com/profile_images/1065138583047159809/hvT7XYfV_bigger.jpg,2:16 PM - 19 Nov 2018,"We are warning you, #TheAtikuPlan will take us back. Imagine, Atiku is presenting a plan on 8 Millennium Development Goals when the World has moved to Sustainable Development Goals since 2015 when MDGs ended. Let's go to the #NextLevelNigeria.

#PlanKoPlanNi
#NextLevel2019pic.twitter.com/iEeBKarTT2",1,3,4
realjohnafolabi,https://pbs.twimg.com/profile_images/1063064958949302279/tJI40XuL_bigger.jpg,1:58 PM - 19 Nov 2018,"Mr, don't take the world for fools. What does MDG mean? It means millennium development goals. Now how come fifteen years after the Millennium is when they are signing it? If not for irresponsible leaders.",0,0,0
onayinka_segun,https://pbs.twimg.com/profile_images/3487525050/16a48c348873ffcadad5e8426b8f18ae_bigger.jpeg,1:00 PM - 19 Nov 2018,"The Much Awaited Atiku Policy Document is still far back talking about the Millennium Development Goals MDGs which had been rounded up and completed 3 years ago... , whereas the whole wide world now focuses on the... https://www.facebook.com/690646396/posts/10156689551711397/ …",0,0,0
purple_billion,https://pbs.twimg.com/profile_images/1037241505600229378/W-ZO8cnp_bigger.jpg,12:22 PM - 19 Nov 2018,Poverty is often identified as a major barrier to human development. It is also a powerful brake on accelerated progress toward the Millennium Development Goals. Poverty is also a major… https://www.instagram.com/p/BqXQj6IA83i/?utm_source=ig_twitter_share&igshid=mk0k85odl8d …,0,0,0
